station,name,year,month,precipitation_sum,max_temp_mean,min_temp_mean,avg_temp_mean,monthly_price_mean,monthly_price_last
GHM00065467,TAKORADI,2017,11,0.0,88.26203703703703,74.87291666666667,82.16666666666667,2120.7491452991453,2056.66
GHM00065465,AXIM,2017,11,0.13,90.50389610389611,73.57272727272726,81.63636363636364,2120.7491452991453,2056.66
GHM00065457,AKIM ODA,2017,11,1.22,91.33333333333333,73.16666666666667,82.66666666666667,2120.7491452991453,2056.66
GHM00065432,WENCHI,2017,11,0.0,89.88825396825398,71.76555555555555,80.6,2120.7491452991453,2056.66
GHM00065445,SEFWI BEKWAI,2017,11,1.65,90.69034391534392,74.32291666666667,82.33333333333333,2120.7491452991453,2056.66
GHM00065439,SUNYANI,2017,11,0.0,88.62469135802469,72.90462962962962,80.22222222222223,2120.7491452991453,2056.66
GHM00065453,HO,2017,11,0.0,90.5111111111111,73.9275,82.2,2120.7491452991453,2056.66
GHM00065442,KUMASI,2017,11,0.01,90.06780045351475,73.11904761904762,79.57142857142857,2120.7491452991453,2056.66
GHM00065432,WENCHI,2017,12,0.0,90.83055555555555,71.29678571428572,81.65,1917.1357225433526,1899.06
GHM00065439,SUNYANI,2017,12,0.0,89.85672514619883,72.39636591478697,81.0,1917.1357225433526,1899.06
GHM00065442,KUMASI,2017,12,1.53,89.94444444444444,73.34964285714287,80.85,1917.1357225433526,1899.06
GHM00065445,SEFWI BEKWAI,2017,12,0.24,90.6141975308642,74.9978835978836,82.94444444444444,1917.1357225433526,1899.06
GHM00065457,AKIM ODA,2017,12,0.02,89.58333333333333,73.84434523809523,81.0,1917.1357225433526,1899.06
GHM00065459,KOFORIDUA,2017,12,0.67,90.61111111111111,72.83642857142857,81.75,1917.1357225433526,1899.06
GHM00065465,AXIM,2017,12,2.28,87.53703703703704,75.3047619047619,82.05555555555556,1917.1357225433526,1899.06
GHM00065467,TAKORADI,2017,12,0.0,88.6374269005848,75.2546365914787,82.57894736842105,1917.1357225433526,1899.06
GHM00065472,KOTOKA INTERNATIONAL,2017,12,0.0,90.11666666666666,76.06857142857143,82.35,1917.1357225433526,1899.06
GHM00065453,HO,2017,12,0.02,91.51515151515152,73.17272727272727,82.81818181818181,1917.1357225433526,1899.06
GHM00065472,KOTOKA INTERNATIONAL,2018,1,0.0,90.63939393939394,74.04318181818182,82.22727272727273,1953.44689119171,2013.7
GHM00065459,KOFORIDUA,2018,1,0.0,92.77777777777777,70.85,81.9047619047619,1953.44689119171,2013.7
GHM00065467,TAKORADI,2018,1,0.0,88.58888888888889,74.05740740740741,82.33333333333333,1953.44689119171,2013.7
GHM00065465,AXIM,2018,1,0.35,88.775,74.80416666666666,81.15,1953.44689119171,2013.7
